Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Справочник1	ТестовыйЭлемент2					
				Ссылка	6d3c08bc-7e50-11e5-829a-fcaa1434287a		
				Наименование	Тестовый Элемент 2		
Справочник	Справочник1	ТестовыйЭлемент1					
				Ссылка	6d3c08bb-7e50-11e5-829a-fcaa1434287a		
				Наименование	Тестовый Элемент 1		
Справочник	Справочник2	ТестовыйЭлемент20					
				Ссылка	a1429ebf-8146-11e5-829d-fcaa1434287a		
				Наименование	ТестовыйЭлемент20		
Справочник	Справочник2	ТестовыйЭлемент21					
				Ссылка	a1429ec0-8146-11e5-829d-fcaa1434287a		
				Наименование	ТестовыйЭлемент21		
