Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	Справочник1	ТестовыйЭлемент					
				Ссылка	820c0f67-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_1					
				Ссылка	820c0f66-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_2					
				Ссылка	820c0f65-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_3					
				Ссылка	820c0f64-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_4					
				Ссылка	820c0f63-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_5					
				Ссылка	820c0f62-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_6					
				Ссылка	820c0f61-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_7					
				Ссылка	820c0f60-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_8					
				Ссылка	820c0f5f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_9					
				Ссылка	820c0f5e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_10					
				Ссылка	820c0f5d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_11					
				Ссылка	820c0f5c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_12					
				Ссылка	820c0f5b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_13					
				Ссылка	820c0f5a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_14					
				Ссылка	820c0f59-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_15					
				Ссылка	820c0f58-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_16					
				Ссылка	820c0f57-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_17					
				Ссылка	820c0f56-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_18					
				Ссылка	820c0f55-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_19					
				Ссылка	820c0f54-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_20					
				Ссылка	820c0f53-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_21					
				Ссылка	820c0f52-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_22					
				Ссылка	820c0f51-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_23					
				Ссылка	820c0f50-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_24					
				Ссылка	820c0f4f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_25					
				Ссылка	820c0f4e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_26					
				Ссылка	820c0f4d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_27					
				Ссылка	820c0f4c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_28					
				Ссылка	820c0f4b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_29					
				Ссылка	820c0f4a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_30					
				Ссылка	820c0f49-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_31					
				Ссылка	820c0f48-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_32					
				Ссылка	820c0f47-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_33					
				Ссылка	820c0f46-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_34					
				Ссылка	820c0f45-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_35					
				Ссылка	820c0f44-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_36					
				Ссылка	820c0f43-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_37					
				Ссылка	820c0f42-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_38					
				Ссылка	820c0f41-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_39					
				Ссылка	820c0f40-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_40					
				Ссылка	820c0f3f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_41					
				Ссылка	820c0f3e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_42					
				Ссылка	820c0f3d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_43					
				Ссылка	820c0f3c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_44					
				Ссылка	820c0f3b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_45					
				Ссылка	820c0f3a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_46					
				Ссылка	820c0f39-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_47					
				Ссылка	820c0f38-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_48					
				Ссылка	820c0f37-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_49					
				Ссылка	820c0f36-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_50					
				Ссылка	820c0f35-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_51					
				Ссылка	820c0f34-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_52					
				Ссылка	820c0f33-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_53					
				Ссылка	820c0f32-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_54					
				Ссылка	820c0f31-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_55					
				Ссылка	820c0f30-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_56					
				Ссылка	820c0f2f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_57					
				Ссылка	820c0f2e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_58					
				Ссылка	820c0f2d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_59					
				Ссылка	820c0f2c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_60					
				Ссылка	820c0f2b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_61					
				Ссылка	820c0f2a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_62					
				Ссылка	820c0f29-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_63					
				Ссылка	820c0f28-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_64					
				Ссылка	820c0f27-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_65					
				Ссылка	820c0f26-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_66					
				Ссылка	820c0f25-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_67					
				Ссылка	820c0f24-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_68					
				Ссылка	820c0f23-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_69					
				Ссылка	820c0f22-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_70					
				Ссылка	820c0f21-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_71					
				Ссылка	820c0f20-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_72					
				Ссылка	820c0f1f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_73					
				Ссылка	820c0f1e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_74					
				Ссылка	820c0f1d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_75					
				Ссылка	820c0f1c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_76					
				Ссылка	820c0f1b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_77					
				Ссылка	820c0f1a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_78					
				Ссылка	820c0f19-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_79					
				Ссылка	820c0f18-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_80					
				Ссылка	820c0f17-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_81					
				Ссылка	820c0f16-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_82					
				Ссылка	820c0f15-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_83					
				Ссылка	820c0f14-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_84					
				Ссылка	820c0f13-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_85					
				Ссылка	820c0f12-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_86					
				Ссылка	820c0f11-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_87					
				Ссылка	820c0f10-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_88					
				Ссылка	820c0f0f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_89					
				Ссылка	820c0f0e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_90					
				Ссылка	820c0f0d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_91					
				Ссылка	820c0f0c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_92					
				Ссылка	820c0f0b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_93					
				Ссылка	820c0f0a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_94					
				Ссылка	820c0f09-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_95					
				Ссылка	820c0f08-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_96					
